Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
518,"Refurbished (Good) - LG 65"" 4K UHD HDR OLED webOS Smart TV (OLED65B2PUA) - 2022",0,"$1,449",15.5,LG,OLED,65,4K
519,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ9000PUD) - 2022 - Titan Grey - Open Box",0,$639.99,"$1,270",LG,LED,50,4K
520,"LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO80UPA) - 2021 - Open Box",0,"$1,129.97",15.5,LG,LED,75,4K
521,"Hisense 75"" 4K UHD HDR LED Android Smart TV (75A68G) - 2021",2,"$1,099.97",15.5,Hisense,LED,75,4K
522,"Open Box - LG NanoCell 86"" 4K UHD HDR LED webOS Smart TV (86NANO90UPA) - 2021",1,"$1,799.99",0,LG,LED,86,4K
523,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65Q80AAFXZC) - 2021 - Titan Black",0,"$1,359.99",$100,Samsung,LED,65,4K
524,"Refurbished (Good) - RCA 24"" Class HD (720P) LED TV (RT2412)",0,$99.99,15.5,RCA,LED,24,NA
525,"Open Box - Samsung 65"" 8K UHD HDR Mini-LED Tizen OS Smart TV (QN65QN900AFXZC) - 2021 - Stainless Steel",0,"$3,654.99",$601,Samsung,LED,65,8K
526,"LG OLED77B2PUA 77"" 4K UHD HDR OLED webOS Smart TV - Factory Refurbished",0,"$2,399",$750,LG,OLED,77,4K
527,"Refurbished (Good) - LG 75"" Class 4K UHD 2160P Smart TV (75UN6955ZUD)",0,$799.99,$800,LG,NA,75,4K
528,"Open Box - Samsung The Serif 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS01BAFXZC) - 2022 - Cloud White",0,"$1,499.99",$230,Samsung,LED,65,4K
529,"Hisense DEL Smart Television 32"" (32H41G) - Open Box Like New (Condition 10/10)",1,$169,$50,Hisense,NA,32,NA
530,Hisense 50-Inch Class R6 Series Dolby Vision HDR 4K UHD Roku Smart TV,427,$699.99,$190,Hisense,NA,50,4K
531,"Open Box - LG 50"" 4K UHD HDR LCD webOS Smart TV (50UP7000PUA) - 2021",0,$509.97,$40,LG,LCD,50,4K
532,"Open Box - Insignia 58"" 4K UHD HDR LCD Smart TV (NS-58F301CA22) - Fire TV Edition - 2021",0,$509.99,15.5,Insignia,LCD,58,4K
533,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7570PUJ) - 2023 - Black",222,"$1,099.99",0,LG,LED,65,4K
534,"Open Box - Samsung 55"" 4K UHD HDR QLED Tizen OS Smart TV (QN55Q80AAFXZC) - 2021 - Titan Black",1,"$1,104.99",15.5,Samsung,LED,55,4K
535,"Open Box - LG 77"" 4K UHD HDR OLED webOS Smart TV (OLED77CXPUA)",5359,"$5,129.99",$130,LG,OLED,77,4K
536,"Samsung 55"" TU7000 Smart 4K UHD TV -Open Box",0,$699.99,15.5,Samsung,NA,55,4K
537,"Open Box - LG 55"" 4K UHD HDR LED webOS Smart TV (55SM8100AUA)",0,$699.99,15.5,LG,LED,55,4K
538,"Open Box - Sony BRAVIA XR X95J 75"" 4K UHD HDR LED Smart Google TV (XR75X95J) - 2021",0,"$2,549.99",15.5,Sony,LED,75,4K
539,"Open Box - LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO80UNA)",216,$849.99,0,LG,LED,65,4K
540,"Samsung 85"" The Frame QLED HDR 4K Smart TV (QN85LS03B) - Open Box - 10/10 Condition.",0,"$4,798.99",15.5,Samsung,LED,85,4K
541,"Open Box - Insignia 70"" 4K UHD HDR LCD Fire OS Smart TV (NS-70F301CA23) - 2022",0,$679.99,15.5,Insignia,LCD,70,4K
542,"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU6900FXZC) - 2020 - Titan Grey",0,"$1,169.99",$551,Samsung,LED,75,4K
543,"Refurbished (Good) - LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED80UQA) - Dark Titan Silver/Ashed Blue",0,"$1,049",$215,LG,QNED,65,4K
544,"Open Box - Amazon Fire TV Omni 55"" 4K UHD HDR LED Smart TV (B08T6DRNDD) - 2021",0,$494.97,"$1,000",Amazon fire TV,LED,55,4K
545,"Refurbished (Good) - LG 86"" Class 4K Ultra HD Smart NanoCell 75 Series TV with AI ThinQ (86NANO75UPA)",0,"$1,799.99",15.5,LG,NA,86,4K
546,"Open Box - Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q70AAFXZC) - 2021",0,"$1,869.99",0,Samsung,LED,75,4K
547,"Open Box - Insignia 32"" 1080p HD LED Smart TV (NS-32F202CA22) - Fire TV Editon - 2021 - Only at Best Buy",4,$297.99,$152,Insignia,LED,32,1080p
548,"Samsung NT678U Series 43"" 4K Ultra HD LED Commercial TV - (HG43NT678UFXZA)",0,$713.80,0,Samsung,LED,43,4K
549,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65QN88AAFXZC) - 2021 - Titan Black",0,"$1,614.99",0,Samsung,LED,65,4K
550,"Open Box - Samsung 75"" 4K UHD HDR Mini-LED Tizen OS Smart TV (QN75QN90AAFXZC) - 2021 - Titan Black",0,"$3,229.99",$502,Samsung,LED,75,4K
551,"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver - Refurbished",0,"$1,198",$560,LG,OLED,48,4K
552,"Refurbished (Good) SAMSUNG 75"" Class Q60B-Series QLED 4K Smart TV (QN75Q60B)",0,"$1,299.99",15.5,Samsung,LED,75,4K
553,"Insignia 50"" 4K UHD HDR QLED Fire Smart TV (NS-50F501CA22) - 2020 - Only at Best Buy",3,$629.95,15.5,Insignia,LED,50,4K
554,"Open Box - Samsung NT670U Series 50"" 4K UHD LED TV - (HG50NT670UFXZA)",0,$626.99,$920,Samsung,LED,50,4K
555,"Samsung QN65QN95BAFXZC 65"" Neo QLED 4K Smart TV - Open Box - 10/10 Condition",0,"$1,979.99",15.5,Samsung,LED,65,4K
556,"Samsung 85"" 4K UHD HDR QLED Tizen OS Smart TV (QN85QN90AAFXZC) - 2021 - Titan Black",2908,"$4,999.97",0,Samsung,LED,85,4K
557,"RCA 19"" Class HD (720P) LED TV (RT1970)",2,$169.99,15.5,RCA,LED,19,NA
558,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UP7700PUB) - 2021",2,"$1,099.97",15.5,LG,LED,65,4K
559,"LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO80UPA) - 2021 - Only at Best Buy",261,"$2,399.97",0,LG,LED,75,4K
560,"Open Box - Samsung 75"" 4K UHD HDR QLED Tizen OS Smart TV (QN75QN88AAFXZC) - 2021 - Titan Black",0,"$2,464.99",$110,Samsung,LED,75,4K
561,"Refurbished (Good) VIZIO 50"" Class V-Series 4K LED HDR Smart TV (V505M-K09)",0,$359.99,"$2,750",VIZIO,LED,50,4K
562,"Refurbished (Good) - SAMSUNG LH46OHF 46"" CLASS OHF 1080P HD OUTDOOR DIGITAL SIGNAGE DISPLAY",0,"$1,999.99",$570,Samsung,NA,46,NA
563,"Open Box - Samsung 43"" 4K UHD HDR QLED Tizen Smart TV (QN43QN90BAFXZC) - Titan Black",0,$729.99,$600,Samsung,LED,43,4K
564,"Refurbished (Good) - VIZIO 70"" Class 4K UHD Quantum SmartCast Smart TV HDR M-Series (M70Q6-J)",0,$599.99,$142,VIZIO,NA,70,4K
565,"Refurbished (Good) - RCA RTR3261-CA, 32"" ROKU SMART TV",0,$156.90,$135,RCA,NA,32,NA
566,"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue - Open Box",0,$799.99,$600,LG,QNED,55,4K
567,"Refurbished (Good) - VIZIO 58"" Class M7 Series Premium 4K UHD Quantum Color LED SmartCast Smart TV (M58Q7-J01)",0,$499.99,$351,VIZIO,LED,58,4K
