Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
17,"TCL 50"" S-Class 4K UHD HDR LED Smart Google TV (50S450G-CA) - 2023",34,$399.99,15.50,TCL,LED,50,4K
18,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022 - Only at Best Buy",466,$799.99,0,Samsung,LED,65,4K
19,"TCL 43"" S-Class 4K UHD HDR LED Smart Google TV (43S450G-CA) - 2023",39,$329.99,15.50,TCL,LED,43,4K
20,"Hisense 58"" 4K UHD HDR LED Roku Smart TV (58R63G) - 2022",1,$479.99,$30,Hisense,LED,58,4K
21,"Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",4696,$199.99,$100,Samsung,LED,32,720p
22,"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03BAFXZC) - 2022 - Charcoal Black",465,$1599.99,15.50,Samsung,LED,55,4K
23,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU7000FXZC) - Titan Grey",20981,$649.99,15.50,Samsung,LED,55,4K
24,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55TU690TFXZC) - 2022 - Only at Best Buy",52,$699.99,$50,Samsung,LED,55,4K
25,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU7000FXZC) - 2023 - Titan Grey",502,$899.99,$400,Samsung,LED,65,4K
26,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",500,$999.99,15.50,LG,LED,65,4K
27,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",44,$699.99,$150,LG,LED,55,4K
28,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q750G-CA) - 2023",53,$749.99,15.50,TCL,LED,55,4K
29,"Hisense 65"" 4K UHD HDR LED Roku Smart TV (65R63G) - 2022",1,$629.99,0,Hisense,LED,65,4K
30,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BAFXZC) - 2022 - Charcoal Black",464,$2699.99,15.50,Samsung,LED,65,4K
31,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU7000FXZC) - 2023 - Titan Grey",390,$649.99,15.50,Samsung,LED,50,4K
32,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7070ZUD) - 2022 - Grey - Only at Best Buy",926,$999.99,0,LG,LED,75,4K
33,"TCL 40"" S-Class 1080p HD HDR LED Smart Google TV (40S350G-CA) - 2023",9,$269.99,15.50,TCL,LED,40,1080p
34,"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU7000FXZC) - Titan Grey",2,$959.99,15.50,Samsung,LED,75,4K
35,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey - Open Box",1,$559.99,$50,LG,LED,55,4K
36,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey - Open Box",0,$899.99,$301,Samsung,LED,65,4K
37,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC) - 2022 - Charcoal Black",466,$1298.98,15.50,Samsung,LED,50,4K
38,"Sony X75K 55"" 4K UHD HDR LED Smart Google TV (KD55X75K) - 2022",618,$699.99,15.50,Sony,LED,55,4K
39,"Samsung 55"" 4K UHD Neo QLED Tizen Smart TV (QN55QN90BAFXZC) - Titan Black",209,$1499.95,15.50,Samsung,LED,55,4K
40,"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver",2965,$1699.99,15.50,LG,OLED,48,4K
41,"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022",515,$1299.95,$400,Sony,LED,55,4K
42,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC) - 2023 - Titan Grey",255,$1799.99,$200,Samsung,LED,85,4K
43,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75CU7000FXZC) - 2023 - Titan Grey",405,$1299.99,15.50,Samsung,LED,75,4K
44,"Hisense 50"" 4K UHD HDR LED Roku Smart TV (50R63G) - 2022",0,$399.99,12.20,Hisense,LED,50,4K
45,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",1808,$449.99,7.50,LG,LED,43,4K
46,"LG StanbyME 27"" 1080p HD HDR LED webOS Smart TV (27ART10AKPL) - 2022",53,$1499.99,$100,LG,LED,27,1080p
47,"TCL 65"" Q-Class 4K UHD HDR QLED Smart Google TV (65Q750G-CA) - 2023",3,$999.99,0,TCL,LED,65,4K
48,"TCL 32"" S-Class 1080p HD HDR LED Smart Google TV (32S350G-CA) - 2023",44,$199.99,$30,TCL,LED,32,1080p
49,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022 - Open Box",4,$819.99,15.50,Sony,LED,65,4K
50,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022",2,$639.99,$600,Samsung,LED,65,4K
51,"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022",587,$3999.99,15.50,Sony,OLED,65,4K
52,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q60CAFXZC) - 2023 - Titan Grey",213,$999.99,12.20,Samsung,LED,55,4K
53,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC) - 2023 - Titan Grey",410,$549.99,$400,Samsung,LED,43,4K
54,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",500,$999.99,$100,LG,LED,65,4K
55,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C3PUA) - 2023",72,$2999.99,$30,LG,OLED,65,4K
56,"Sony X85K 43"" 4K UHD HDR LED Smart Google TV (KD43X85K) - 2022",529,$819.99,0,Sony,LED,43,4K
57,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q650G-CA) - 2023",32,$549.99,$180,TCL,LED,55,4K
58,"Open Box - Samsung 50"" 4K UHD HDR QLED Tizen OS Smart TV (QN50Q80AAFXZC) - 2021 - Titan Black",2,$699.99,15.50,Samsung,LED,50,4K
59,"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70CU7000FXZC) - 2023 - Titan Grey",244,$1099.99,12.20,Samsung,LED,70,4K
60,"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C2PUA) - 2022 - Dark Titan Silver",3031,$1599.99,$500,LG,OLED,42,4K
61,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q60CAFXZC) - 2023 - Titan Grey",162,$2399.99,15.50,Samsung,LED,85,4K
62,"Sony BRAVIA XR A95K 55"" 4K UHD HDR OLED Smart Google TV (XR55A95K) - 2022",374,$3499.99,12.20,Sony,OLED,55,4K
63,"Hisense 43"" 4K UHD HDR LED Roku Smart TV (43R63G) - 2022",0,$329.99,$100,Hisense,LED,43,4K
64,"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X90L) - 2023",1,$1899.99,$100,Sony,LED,65,4K
65,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) - 2022 - Charcoal Black",462,$1099.99,15.50,Samsung,LED,43,4K
66,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",4462,$1299.97,0,Samsung,LED,75,4K
67,"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (65R635-CA)",701,$1299.99,0,TCL,LED,65,4K
68,"TCL 65"" S-Class 4K UHD HDR LED Smart Google TV (65S450G-CA) - 2023",32,$649.99,15.50,TCL,LED,65,4K
