Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
"Samsung 55"" 4K UHD Neo QLED Tizen Smart TV (QN55QN90BAFXZC) - Titan Black",209,"$1,499.95",15.5,Samsung,LED,55,4K,New,July
"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver",2965,"$1,699.99",15.5,LG,OLED,48,4K,New,July
"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022",515,"$1,299.95",$400,Sony,LED,55,4K,New,July
"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC) - 2023 - Titan Grey",255,"$1,799.99",$200,Samsung,LED,85,4K,New,July
"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75CU7000FXZC) - 2023 - Titan Grey",405,"$1,299.99",15.5,Samsung,LED,75,4K,New,July
"Hisense 50"" 4K UHD HDR LED Roku Smart TV (50R63G) - 2022",0,$399.99,12.2,Hisense,LED,50,4K,New,July
"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",1808,$449.99,7.5,LG,LED,43,4K,New,July
"LG StanbyME 27"" 1080p HD HDR LED webOS Smart TV (27ART10AKPL) - 2022",53,"$1,499.99",$100,LG,LED,27,1080p,New,July
"TCL 65"" Q-Class 4K UHD HDR QLED Smart Google TV (65Q750G-CA) - 2023",3,$999.99,0,TCL,LED,65,4K,New,July
"TCL 32"" S-Class 1080p HD HDR LED Smart Google TV (32S350G-CA) - 2023",44,$199.99,$30,TCL,LED,32,1080p,New,July
"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022 - Open Box",4,$819.99,15.5,Sony,LED,65,4K,Open Box,July
"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022",2,$639.99,$600,Samsung,LED,65,4K,Open Box,July
"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022",587,"$3,999.99",15.5,Sony,OLED,65,4K,New,July
"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q60CAFXZC) - 2023 - Titan Grey",213,$999.99,12.2,Samsung,LED,55,4K,New,July
"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC) - 2023 - Titan Grey",410,$549.99,$400,Samsung,LED,43,4K,New,July
"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",500,$999.99,$100,LG,LED,65,4K,New,July
"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C3PUA) - 2023",72,"$2,999.99",$30,LG,OLED,65,4K,New,July
"Sony X85K 43"" 4K UHD HDR LED Smart Google TV (KD43X85K) - 2022",529,$819.99,0,Sony,LED,43,4K,New,July
"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q650G-CA) - 2023",32,$549.99,$180,TCL,LED,55,4K,New,July
"Open Box - Samsung 50"" 4K UHD HDR QLED Tizen OS Smart TV (QN50Q80AAFXZC) - 2021 - Titan Black",2,$699.99,15.5,Samsung,LED,50,4K,Open Box,July
"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70CU7000FXZC) - 2023 - Titan Grey",244,"$1,099.99",12.2,Samsung,LED,70,4K,New,July
"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C2PUA) - 2022 - Dark Titan Silver",3031,"$1,599.99",$500,LG,OLED,42,4K,New,July
"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q60CAFXZC) - 2023 - Titan Grey",162,"$2,399.99",15.5,Samsung,LED,85,4K,New,July
"Sony BRAVIA XR A95K 55"" 4K UHD HDR OLED Smart Google TV (XR55A95K) - 2022",374,"$3,499.99",12.2,Sony,OLED,55,4K,New,July
"Hisense 43"" 4K UHD HDR LED Roku Smart TV (43R63G) - 2022",0,$329.99,$100,Hisense,LED,43,4K,New,July
"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X90L) - 2023",1,"$1,899.99",$100,Sony,LED,65,4K,New,July
"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) - 2022 - Charcoal Black",462,"$1,099.99",15.5,Samsung,LED,43,4K,New,July
"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",4462,"$1,299.97",0,Samsung,LED,75,4K,New,July
"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (65R635-CA)",701,"$1,299.99",0,TCL,LED,65,4K,New,July
"TCL 65"" S-Class 4K UHD HDR LED Smart Google TV (65S450G-CA) - 2023",32,$649.99,15.5,TCL,LED,65,4K,New,July
"LG G3 65"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED65G3PUA) - 2023 - Satin Silver",66,"$3,999.99",$20,LG,OLED,65,4K,New,July
"Open Box - Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",1,$159.99,12.2,Insignia,LED,32,720p,Open Box,July
"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022",3,$399.99,15.5,Samsung,LED,43,4K,Open Box,July
"Open Box - Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU7000FXZC) - Titan Grey",7,$583.99,$100,Samsung,LED,58,4K,Open Box,July
"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7570PUJ) - 2023 - Black",0,$599.99,15.5,LG,LED,55,4K,New,July
"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58CU7000FXZC) - 2023 - Titan Grey",286,$849.99,15.5,Samsung,LED,58,4K,New,July
"Open Box - Samsung 82"" 4K UHD HDR LED Tizen OS Smart TV (UN82TU7000FXZC) - 2021 - Titan Grey",0,"$1,199.99",15.5,Samsung,LED,82,4K,Open Box,July
"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q70CAFXZC) - 2023",73,"$1,199.99",15.5,Samsung,LED,55,4K,New,July
"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",17,"$1,799.99",$500,LG,LED,86,4K,New,July
"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU8000FXZC) - 2023",196,"$1,999.99",15.5,Samsung,LED,85,4K,New,July
"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K) - 2022",328,"$1,099.99",15.5,Sony,LED,55,4K,New,July
"Sony BRAVIA 85"" 4K UHD HDR LED Google TV Smart TV (XR85X90K) - 2022",559,"$2,799.99",15.5,Sony,LED,85,4K,New,July
"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50AU8000FXZC) - 2021",4,$519.99,$500,Samsung,LED,50,4K,Open Box,July
"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C3PUA) - 2023",78,"$4,299.99",$100,LG,OLED,77,4K,New,July
"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7570PUJ) - 2023 - Black",240,$749.99,15.5,LG,LED,65,4K,New,July
"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022",541,$829.95,$75,Sony,LED,50,4K,New,July
"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65Q70AAFXZC) - 2021",0,"$1,199.99",$500,Samsung,LED,65,4K,Open Box,July
"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN90CAFXZC) - 2023 - Titan Black",22,"$2,799.99",15.5,Samsung,LED,65,4K,New,July
