Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels,Status,Month
34,"Open Box - Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU7000FXZC) - Titan Grey",2,$959.99,15.5,Samsung,LED,75,4K,Open Box,July
35,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey - Open Box",1,$559.99,$50,LG,LED,55,4K,Open Box,July
36,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey - Open Box",0,$899.99,$301,Samsung,LED,65,4K,Open Box,July
37,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC) - 2022 - Charcoal Black",466,"$1,298.98",15.5,Samsung,LED,50,4K,New,July
38,"Sony X75K 55"" 4K UHD HDR LED Smart Google TV (KD55X75K) - 2022",618,$699.99,15.5,Sony,LED,55,4K,New,July
39,"Samsung 55"" 4K UHD Neo QLED Tizen Smart TV (QN55QN90BAFXZC) - Titan Black",209,"$1,499.95",15.5,Samsung,LED,55,4K,New,July
40,"LG 48"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED48C2PUA) - 2022 - Dark Titan Silver",2965,"$1,699.99",15.5,LG,OLED,48,4K,New,July
41,"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022",515,"$1,299.95",$400,Sony,LED,55,4K,New,July
42,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU7000FXZC) - 2023 - Titan Grey",255,"$1,799.99",$200,Samsung,LED,85,4K,New,July
43,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75CU7000FXZC) - 2023 - Titan Grey",405,"$1,299.99",15.5,Samsung,LED,75,4K,New,July
44,"Hisense 50"" 4K UHD HDR LED Roku Smart TV (50R63G) - 2022",0,$399.99,12.2,Hisense,LED,50,4K,New,July
45,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",1808,$449.99,7.5,LG,LED,43,4K,New,July
46,"LG StanbyME 27"" 1080p HD HDR LED webOS Smart TV (27ART10AKPL) - 2022",53,"$1,499.99",$100,LG,LED,27,1080p,New,July
47,"TCL 65"" Q-Class 4K UHD HDR QLED Smart Google TV (65Q750G-CA) - 2023",3,$999.99,0,TCL,LED,65,4K,New,July
48,"TCL 32"" S-Class 1080p HD HDR LED Smart Google TV (32S350G-CA) - 2023",44,$199.99,$30,TCL,LED,32,1080p,New,July
49,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022 - Open Box",4,$819.99,15.5,Sony,LED,65,4K,Open Box,July
50,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022",2,$639.99,$600,Samsung,LED,65,4K,Open Box,July
51,"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022",587,"$3,999.99",15.5,Sony,OLED,65,4K,New,July
52,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q60CAFXZC) - 2023 - Titan Grey",213,$999.99,12.2,Samsung,LED,55,4K,New,July
53,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC) - 2023 - Titan Grey",410,$549.99,$400,Samsung,LED,43,4K,New,July
54,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",500,$999.99,$100,LG,LED,65,4K,New,July
55,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C3PUA) - 2023",72,"$2,999.99",$30,LG,OLED,65,4K,New,July
56,"Sony X85K 43"" 4K UHD HDR LED Smart Google TV (KD43X85K) - 2022",529,$819.99,0,Sony,LED,43,4K,New,July
57,"TCL 55"" Q-Class 4K UHD HDR QLED Smart Google TV (55Q650G-CA) - 2023",32,$549.99,$180,TCL,LED,55,4K,New,July
58,"Open Box - Samsung 50"" 4K UHD HDR QLED Tizen OS Smart TV (QN50Q80AAFXZC) - 2021 - Titan Black",2,$699.99,15.5,Samsung,LED,50,4K,Open Box,July
59,"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70CU7000FXZC) - 2023 - Titan Grey",244,"$1,099.99",12.2,Samsung,LED,70,4K,New,July
60,"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C2PUA) - 2022 - Dark Titan Silver",3031,"$1,599.99",$500,LG,OLED,42,4K,New,July
61,"Samsung 85"" 4K UHD HDR QLED Smart TV (QN85Q60CAFXZC) - 2023 - Titan Grey",162,"$2,399.99",15.5,Samsung,LED,85,4K,New,July
62,"Sony BRAVIA XR A95K 55"" 4K UHD HDR OLED Smart Google TV (XR55A95K) - 2022",374,"$3,499.99",12.2,Sony,OLED,55,4K,New,July
63,"Hisense 43"" 4K UHD HDR LED Roku Smart TV (43R63G) - 2022",0,$329.99,$100,Hisense,LED,43,4K,New,July
64,"Sony 65"" 4K UHD HDR LED Smart Google TV (XR65X90L) - 2023",1,"$1,899.99",$100,Sony,LED,65,4K,New,July
65,"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03BAFXZC) - 2022 - Charcoal Black",462,"$1,099.99",15.5,Samsung,LED,43,4K,New,July
66,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",4462,"$1,299.97",0,Samsung,LED,75,4K,New,July
67,"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (65R635-CA)",701,"$1,299.99",0,TCL,LED,65,4K,New,July
68,"TCL 65"" S-Class 4K UHD HDR LED Smart Google TV (65S450G-CA) - 2023",32,$649.99,15.5,TCL,LED,65,4K,New,July
69,"LG G3 65"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED65G3PUA) - 2023 - Satin Silver",66,"$3,999.99",$20,LG,OLED,65,4K,New,July
70,"Open Box - Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",1,$159.99,12.2,Insignia,LED,32,720p,Open Box,July
71,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022",3,$399.99,15.5,Samsung,LED,43,4K,Open Box,July
72,"Open Box - Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU7000FXZC) - Titan Grey",7,$583.99,$100,Samsung,LED,58,4K,Open Box,July
73,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7570PUJ) - 2023 - Black",0,$599.99,15.5,LG,LED,55,4K,New,July
74,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58CU7000FXZC) - 2023 - Titan Grey",286,$849.99,15.5,Samsung,LED,58,4K,New,July
75,"Open Box - Samsung 82"" 4K UHD HDR LED Tizen OS Smart TV (UN82TU7000FXZC) - 2021 - Titan Grey",0,"$1,199.99",15.5,Samsung,LED,82,4K,Open Box,July
76,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q70CAFXZC) - 2023",73,"$1,199.99",15.5,Samsung,LED,55,4K,New,July
77,"LG 86"" 4K UHD HDR LED webOS Smart TV (86UQ7590PUD) - 2022 - Dark Iron Grey",17,"$1,799.99",$500,LG,LED,86,4K,New,July
78,"Samsung 85"" 4K UHD HDR LED Tizen Smart TV (UN85CU8000FXZC) - 2023",196,"$1,999.99",15.5,Samsung,LED,85,4K,New,July
79,"Sony X85K 55"" 4K UHD HDR LED Smart Google TV (KD55X85K) - 2022",328,"$1,099.99",15.5,Sony,LED,55,4K,New,July
80,"Sony BRAVIA 85"" 4K UHD HDR LED Google TV Smart TV (XR85X90K) - 2022",559,"$2,799.99",15.5,Sony,LED,85,4K,New,July
81,"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50AU8000FXZC) - 2021",4,$519.99,$500,Samsung,LED,50,4K,Open Box,July
82,"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C3PUA) - 2023",78,"$4,299.99",$100,LG,OLED,77,4K,New,July
83,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7570PUJ) - 2023 - Black",240,$749.99,15.5,LG,LED,65,4K,New,July
84,"Sony X80K 50"" 4K UHD HDR LED Smart Google TV (KD50X80K) - 2022",541,$829.95,$75,Sony,LED,50,4K,New,July
85,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65Q70AAFXZC) - 2021",0,"$1,199.99",$500,Samsung,LED,65,4K,Open Box,July
86,"Samsung 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN90CAFXZC) - 2023 - Titan Black",22,"$2,799.99",15.5,Samsung,LED,65,4K,New,July
87,"Open Box - LG NanoCell 75"" 4K UHD HDR LED webOS Smart TV (75NANO80UPA) - 2021",0,"$1,919.99",15.5,LG,LED,75,4K,Open Box,July
88,"Sony X85K 50"" 4K UHD HDR LED Smart Google TV (KD50X85K) - 2022",223,$949.99,0,Sony,LED,50,4K,New,July
89,"Open Box - Samsung 65"" 4K UHD HDR QLED Tizen OS Smart TV (QN65QN88AAFXZC) - 2021 - Titan Black",0,"$1,614.99",15.5,Samsung,LED,65,4K,Open Box,July
90,"Sony X80K 65"" 4K UHD HDR LED Smart Google TV (KD65X80K) - 2022",847,"$1,199.99",15.5,Sony,LED,65,4K,New,July
91,"Sony X80K 55"" 4K UHD HDR LED Smart Google TV (KD55X80K) - 2022",635,$949.99,$50,Sony,LED,55,4K,New,July
92,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50CU8000FXZC) - 2023",126,$699.99,15.5,Samsung,LED,50,4K,New,July
93,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q60CAFXZC) - 2023 - Titan Grey",203,$849.99,15.5,Samsung,LED,50,4K,New,July
94,"Samsung 75"" 4K UHD HDR QLED Tizen Smart TV (QN75Q60BAFXZC) - Titan Grey",268,"$1,599.95",12.2,Samsung,LED,75,4K,New,July
95,"Samsung 43"" 4K UHD HDR QLED Smart TV (QN43Q60CAFXZC) - 2023 - Titan Grey",208,$749.99,$60,Samsung,LED,43,4K,New,July
96,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65AU8000FXZC) - 2021",1689,$739.99,0,Samsung,LED,65,4K,Open Box,July
97,"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) - 2022 - Charcoal Black",462,"$3,999.99",$100,Samsung,LED,75,4K,New,July
98,"Sony BRAVIA XR X90J 50"" 4K UHD HDR LED Smart Google TV (XR50X90J) - 2021",5051,"$1,099.99",$400,Sony,LED,50,4K,New,July
99,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q75AAFXZC) - Only at Best Buy",22,"$1,299.97",15.5,Samsung,LED,65,4K,New,July
100,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",278,"$1,199.95",$20,Samsung,LED,65,4K,New,July
101,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q80BAFXZC) - Titan Black - Open Box",1,$879.99,0,Samsung,LED,55,4K,New,July
102,"TCL 6-Series 55"" 4K UHD HDR QLED Mini-LED Roku OS Smart TV (55R635-CA)",1042,$899.99,15.5,TCL,LED,55,4K,New,July
103,"LG 55"" 4K UHD HDR LED webOS Smart TV (55UQ7590PUB) - 2022 - Dark Iron Grey",44,$699.99,$100,LG,LED,55,4K,New,July
104,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q80CAFXZC) - 2023 - Titan Black",83,"$1,699.99",$100,Samsung,LED,65,4K,New,July
105,"Samsung 55"" 4K UHD HDR QLED Smart TV (QN55Q80CAFXZC) - 2023 - Titan Black",55,"$1,299.99",$50,Samsung,LED,55,4K,New,July
106,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7590PUB) - 2022 - Dark Iron Grey",29,$849.99,12.2,LG,LED,65,4K,New,July
107,"Insignia 40"" 1080p LED TV (NS-40D510CA21) - 2020 - Only at Best Buy",23,$299.99,$800,Insignia,LED,40,1080p,New,July
108,"Sony 85"" 4K UHD HDR Mini-LED Smart Google TV (XR85X93L) - 2023",0,"$5,499.99",0,Sony,LED,85,4K,New,July
109,"Samsung 55"" 4K UHD HDR QLED Tizen Smart TV (QN55Q60BAFXZC) - Titan Grey - Open Box",2,$679.99,15.5,Samsung,LED,55,4K,Open Box,July
110,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q60CAFXZC) - 2023 - Titan Grey",166,"$1,999.99",$100,Samsung,LED,75,4K,New,July
111,"Insignia 32"" 1080p FHD LED Smart TV (NS-32F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",421,$249.99,12.2,Insignia,LED,32,1080p,New,July
112,"Sony X80K 43"" 4K UHD HDR LED Smart Google TV (KD43X80K) - 2022",487,$749.99,0,Sony,LED,43,4K,New,July
113,"Amazon Fire TV 4-Series 43"" 4K UHD HDR LED Smart TV (B08T6FMSY8) - 2021",16,$399.99,"$1,200",Amazon fire TV,LED,43,4K,New,July
114,"Sony BRAVIA XR X95K 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X95K) - 2022",350,"$2,499.99",15.5,Sony,LED,65,4K,New,July
115,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU7000FXZC) - Titan Grey",21276,$549.99,$500,Samsung,LED,50,4K,New,July
116,"Samsung 77"" 4K UHD HDR OLED Tizen Smart TV(QN77S95CAFXZC) - 2023 - Titan Black",127,"$5,499.99",15.5,Samsung,OLED,77,4K,New,July
117,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey",30,$649.99,0,LG,LED,50,4K,New,July
118,"TCL 6-Series 75"" 4K UHD HDR QLED Roku OS Smart TV (75R635-CA)",435,"$1,999.99",15.5,TCL,LED,75,4K,New,July
119,"LG G3 77"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED77G3PUA) - 2023 - Satin Silver",71,"$5,999.99",15.5,LG,OLED,77,4K,New,July
120,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7590PUB) - 2022 - Dark Iron Grey",789,"$1,499.99",15.5,LG,LED,75,4K,New,July
121,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q80BAFXZC) - Titan Black",156,"$1,499.95",15.5,Samsung,LED,65,4K,New,July
122,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75TU690TFXZC) - 2022 - Only at Best Buy",1650,"$1,399.99",$50,Samsung,LED,75,4K,New,July
123,"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C3PUA) - 2023",49,"$1,799.99",0,LG,OLED,42,4K,New,July
124,"Amazon Fire TV 4-Series 50"" 4K UHD HDR LED Smart TV (B08T6G1DCB) - 2021",16,$499.99,15.5,Amazon fire TV,LED,50,4K,New,July
125,"Sony X85K 75"" 4K UHD HDR LED Smart Google TV (KD75X85K) - 2022",285,"$1,799.99",15.5,Sony,LED,75,4K,New,July
126,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58TU690TFXZC) - 2023",0,$699.99,15.5,Samsung,LED,58,4K,New,July
127,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU8000FXZC) - 2023",153,"$1,099.99",12.2,Samsung,LED,65,4K,New,July
128,"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022",84,$399.99,0,Sony,LED,32,720p,New,July
129,"TCL 5-Series 65"" 4K UHD HDR QLED Smart Google TV (65S546-CA) - 2021",223,$899.99,$500,TCL,LED,65,4K,New,July
130,"Samsung 65"" 4K UHD HDR OLED Tizen Smart TV (QN65S95CAFXZC) - 2023 - Titan Black",115,"$3,499.99",15.5,Samsung,OLED,65,4K,New,July
131,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7570PUJ) - 2023 - Black",3,$529.98,0,LG,LED,50,4K,New,July
132,"Open Box - Samsung 55"" 4K UHD HDR Mini-LED Tizen OS Smart TV (QN55QN90AAFXZC) - 2021 - Titan Black",2,"$1,359.99",$248,Samsung,LED,55,4K,Open Box,July
133,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43AU8000FXZC) - 2021",0,$399.99,0,Samsung,LED,43,4K,Open Box,July
134,"Samsung 98"" 8K UHD HDR QLED Tizen Smart TV (QN98Q900RBFXZC)",167,"$99,999.99",15.5,Samsung,LED,98,8K,New,July
135,"LG G3 55"" 4K UHD HDR OLED evo Gallery webOS Smart TV (OLED55G3PUA) - 2023 - Satin Silver",56,"$3,099.99",15.5,LG,OLED,55,4K,New,July
136,"Sony BRAVIA XR 77"" 4K UHD HDR OLED Google TV Smart TV (XR77A80K) - 2022 - Titanium Black",1134,"$3,999.99",$300,Sony,OLED,77,4K,New,July
137,"Toshiba 75"" 4K UHD HDR LED Smart TV (75C350KC) - Fire TV Edition - 2021 - Only at Best Buy",4,$999.95,15.5,Toshiba,LED,75,4K,New,July
138,"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN88BAFXZC) - Titan Black",6,"$2,599.99",15.5,Samsung,LED,75,4K,New,July
139,"Sony BRAVIA XR A90K 48"" 4K UHD HDR OLED Smart Google TV (XR48A90K) - 2022",510,"$1,899.99",15.5,Sony,OLED,48,4K,New,July
140,"LG 48"" 4K UHD HDR OLED webOS ThinQ AI Smart TV (OLED48A2PUA) - 2022",945,$999.99,$20,LG,OLED,48,4K,New,July
141,"Sony 43"" 4K UHD HDR LED Smart Google TV (KD43X77L) - 2023",0,$629.99,0,Sony,LED,43,4K,New,July
142,"Samsung 65"" 4K UHD OLED Tizen Smart TV (QN65S95BAFXZC) - Open Box",5,"$2,079.99",$13,Samsung,OLED,65,4K,Open Box,July
143,"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ7590PUB) - 2022 - Dark Iron Grey",795,"$1,099.99",$100,LG,LED,70,4K,New,July
144,"Sony 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X93L) - 2023",0,"$2,999.99",12.2,Sony,LED,65,4K,New,July
145,"Sony BRAVIA XR A90K 42"" 4K UHD HDR OLED Smart Google TV (XR42A90K) - 2022",178,"$1,749.99",15.5,Sony,OLED,42,4K,New,July
146,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q70CAFXZC) - 2023",79,"$1,599.99",$200,Samsung,LED,65,4K,New,July
147,"Sony 85"" 4K UHD HDR LED Smart Google TV (KD85X77L) - 2023",0,"$1,999.99","$1,500",Sony,LED,85,4K,New,July
148,"Samsung The Frame 85"" 4K UHD HDR QLED Tizen Smart TV (QN85LS03BAFXZC) - 2022 - Charcoal Black",457,"$3,999.99",$50,Samsung,LED,85,4K,New,July
149,"Samsung 32"" 4K UHD HDR QLED Smart TV (QN32Q60CAFXZC) - 2023 - Titan Grey",173,$599.99,7.5,Samsung,LED,32,4K,New,July
150,"Insignia 24"" 1080p FHD LED Smart TV (NS-24F202CA23) - Fire TV Edition - 2022 - Only at Best Buy",567,$299.99,15.5,Insignia,LED,24,1080p,New,July
151,"Open Box - Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",0,$799.99,0,Samsung,LED,70,4K,Open Box,July
152,"Samsung 98"" 4K UHD HDR QLED Tizen Smart TV (QN98Q80CAFXZC) - 2023 - Titan Black",0,"$10,999.99",$200,Samsung,LED,98,4K,New,July
153,"LG 55"" 4K UHD HDR QNED webOS Smart TV (55QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",833,$899.99,0,LG,QNED,55,4K,New,July
154,"Samsung The Frame 32"" 1080p HD HDR QLED Tizen Smart TV (QN32LS03BBFXZC) - 2022 - Charcoal Black",9,$699.95,$200,Samsung,LED,32,1080p,New,July
155,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q80CAFXZC) - 2023 - Titan Black",53,"$1,099.99",$300,Samsung,LED,50,4K,New,July
156,"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ9000PUD) - 2022 - Titan Grey",4,$999.99,$500,LG,LED,70,4K,New,July
157,"Sony 77"" 4K UHD HDR OLED Smart Google TV (XR77A80L) - 2023",0,"$4,499.99","$3,000",Sony,OLED,77,4K,New,July
158,"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",11,"$16,999.99",15.5,Sony,LED,100,4K,New,July
159,"Sony 65"" 4K UHD HDR OLED Smart Google TV (XR65A80L) - 2023",0,"$3,299.99",0,Sony,OLED,65,4K,New,July
160,"Open Box - Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",7727,$239.99,15.5,Samsung,LED,32,1080p,Open Box,July
161,"Sony 55"" 4K UHD HDR OLED Smart Google TV (XR55A80L) - 2023",0,"$2,399.99",15.5,Sony,OLED,55,4K,New,July
162,"Sony X80K 75"" 4K UHD HDR LED Smart Google TV (KD75X80K) - 2022",519,"$1,599.99",12.2,Sony,LED,75,4K,New,July
163,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU7000FXZC) - Titan Grey",14,$359.99,$100,Samsung,LED,43,4K,Open Box,July
164,"Sony 75"" 4K UHD HDR LED Smart Google TV (KD75X77L) - 2023",0,"$1,499.99",0,Sony,LED,75,4K,New,July
165,"TCL 32"" S-Class 720p HD LED Roku OS Smart TV (32S250R-CA) - 2023",24,$179.99,15.5,TCL,LED,32,720p,New,July
166,"LG 55"" 4K UHD HDR LED webOS Smart TV (55NANO75UQA) - 2022 - Ashed Blue",471,$799.99,$200,LG,LED,55,4K,New,July
167,"Sony 75"" 4K UHD HDR Mini-LED Smart Google TV (XR75X93L) - 2023",0,"$3,999.99",15.5,Sony,LED,75,4K,New,July
168,"Sony X80K 85"" 4K UHD HDR LED Smart Google TV (KD85X80K) - 2022",310,"$2,199.99",$80,Sony,LED,85,4K,New,July
169,"Samsung 50"" 4K UHD HDR QLED Tizen Smart TV (QN50Q80BAFXZC) - Titan Black - Open Box",0,$719.99,$900,Samsung,LED,50,4K,Open Box,July
